cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,203,140,12.69153192797546,433.36376877678146,0.5375568389390168
70,14,258,142,12.69153192797546,434.94117999592163,0.5348960865810656
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,203,140,12.69153192797546,433.36376877678146,0.5375568389390168
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,14,258,142,12.69153192797546,434.94117999592163,0.5348960865810656
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,22,258,145,12.69153192797546,434.0828819731442,0.5355919710709421
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,12,258,142,12.69153192797546,435.2598218839366,0.5348045702398277
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,23,249,150,12.69153192797546,433.9051300097441,0.5362920716106189
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,24,258,150,12.69153192797546,433.85235130327237,0.536730449118613
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,203,139,12.69153192797546,433.3818726590172,0.5375033401127273
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,203,139,12.69153192797546,433.3818726590172,0.5375033401127273
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,22,258,150,12.69153192797546,433.9929519540273,0.5356849747457063
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,14,258,150,12.69153192797546,434.7968037105791,0.535082021100472
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,15,258,150,12.69153192797546,434.662634923953,0.5351750546235158
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,22,258,150,12.69153192797546,433.9929519540273,0.5356849747457063
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,23,249,150,12.69153192797546,433.9051300097441,0.5362920716106189
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,171,150,12.69153192797546,433.1296407434756,0.5412899540793664
70,30,203,140,12.69153192797546,433.36376877678146,0.5375568389390168
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,172,150,12.69153192797546,433.131967166229,0.5408994232486094
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,23,249,150,12.69153192797546,433.9051300097441,0.5362920716106189
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,24,258,150,12.69153192797546,433.85235130327237,0.536730449118613
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,22,258,150,12.69153192797546,433.9929519540273,0.5356849747457063
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,13,258,77,12.69153192797546,436.3968161937546,0.5342123167190183
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,244,150,12.69153192797546,433.23864760421213,0.5376361140548571
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,29,203,138,12.69153192797546,433.4936689427732,0.5372388508390831
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,13,258,79,12.69153192797546,436.35611779667374,0.5342885318596907
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,244,150,12.69153192797546,433.23864760421213,0.5376361140548571
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,15,258,81,12.69153192797546,435.9754527574647,0.5345275206433567
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,22,258,150,12.69153192797546,433.9929519540273,0.5356849747457063
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,144,150,12.69153192797546,433.05628406772144,0.5463180546562336
70,22,258,145,12.69153192797546,434.0828819731442,0.5355919710709421
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,30,172,150,12.69153192797546,433.131967166229,0.5408994232486094
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,29,203,138,12.69153192797546,433.4936689427732,0.5372388508390831
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,23,258,150,12.69153192797546,433.9135872860608,0.5360470170170766
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,203,139,12.69153192797546,433.3818726590172,0.5375033401127273
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,23,258,150,12.69153192797546,433.9135872860608,0.5360470170170766
70,30,171,150,12.69153192797546,433.1296407434756,0.5412899540793664
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,22,258,150,12.69153192797546,433.9929519540273,0.5356849747457063
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,15,258,142,12.69153192797546,434.8069666579309,0.5349290297841562
70,30,171,150,12.69153192797546,433.1296407434756,0.5412899540793664
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,23,258,150,12.69153192797546,433.9135872860608,0.5360470170170766
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,244,150,12.69153192797546,433.23864760421213,0.5376361140548571
70,30,172,150,12.69153192797546,433.131967166229,0.5408994232486094
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,23,245,150,12.69153192797546,433.90106469258257,0.5366565011629011
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,29,203,138,12.69153192797546,433.4936689427732,0.5372388508390831
70,14,258,142,12.69153192797546,434.94117999592163,0.5348960865810656
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,172,150,12.69153192797546,433.131967166229,0.5408994232486094
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,27,258,142,12.69153192797546,433.6680662284367,0.5369620396497968
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,15,258,142,12.69153192797546,434.8069666579309,0.5349290297841562
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,244,150,12.69153192797546,433.23864760421213,0.5376361140548571
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,27,258,150,12.69153192797546,433.5241125460689,0.537157640921301
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,167,150,12.69153192797546,433.1200815610508,0.5416029800298138
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
